run_id,backend,architecture,model_key,display_name,step,seconds,tflops_per_device,tokens_per_device,total_weights,loss,lm_loss,perplexity,moe_lb_loss
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,20,4.672,0.01,6.85,32.0,2.245,2.245,9.437,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,21,4.881,0.009,6.555,32.0,1.93,1.93,6.891,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,22,5.749,0.008,5.566,32.0,1.673,1.673,5.327,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,23,7.837,0.006,4.083,32.0,1.435,1.435,4.199,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,24,5.83,0.008,5.488,32.0,1.225,1.225,3.404,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,25,4.672,0.01,6.849,32.0,1.044,1.044,2.841,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,26,4.825,0.009,6.633,32.0,0.888,0.888,2.429,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,27,4.5,0.01,7.111,32.0,0.758,0.758,2.135,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,28,4.65,0.01,6.881,32.0,0.656,0.656,1.926,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,29,4.757,0.009,6.727,32.0,0.58,0.58,1.786,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,30,4.684,0.009,6.831,32.0,0.529,0.529,1.697,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,31,4.792,0.009,6.678,32.0,0.491,0.491,1.633,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,32,4.946,0.009,6.47,32.0,0.451,0.451,1.57,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,33,4.557,0.01,7.022,32.0,0.42,0.42,1.522,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,34,4.752,0.009,6.733,32.0,0.391,0.391,1.479,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,35,4.586,0.01,6.978,32.0,0.368,0.368,1.445,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,36,4.59,0.01,6.972,32.0,0.343,0.343,1.409,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,37,4.862,0.009,6.582,32.0,0.327,0.327,1.386,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,38,4.775,0.009,6.702,32.0,0.312,0.312,1.366,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,39,4.46,0.01,7.174,32.0,0.304,0.304,1.356,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,40,4.649,0.01,6.884,32.0,0.297,0.297,1.346,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,41,4.672,0.01,6.849,32.0,0.291,0.291,1.337,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,42,5.077,0.009,6.302,32.0,0.287,0.287,1.332,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,43,4.409,0.01,7.258,32.0,0.281,0.281,1.325,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,44,4.654,0.01,6.875,32.0,0.276,0.276,1.317,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,45,4.924,0.009,6.498,32.0,0.272,0.272,1.313,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,46,4.529,0.01,7.066,32.0,0.269,0.269,1.309,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,47,4.657,0.01,6.871,32.0,0.269,0.269,1.308,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,48,4.858,0.009,6.586,32.0,0.266,0.266,1.305,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,49,4.672,0.01,6.849,32.0,0.264,0.264,1.303,0.0
